stage1,songname,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid
1,@gobaek1,1,1,0,0,0,0,0,0,0,0,0,0
56,@baramege,1,1,0,0,0,0,0,0,0,0,0,0
59,brandnewdays,1,1,0,0,0,0,0,0,0,0,0,0
61,eternalmemory,1,1,0,0,0,0,0,0,0,0,0,0
35,lovemode,1,1,0,0,0,0,0,0,0,0,0,0
94,@youngwon,1,1,0,0,0,0,0,0,0,0,0,0
6,access,1,1,0,0,0,0,0,0,0,0,0,0
10,closer,1,1,0,0,0,0,0,0,0,0,0,0
69,cosmicfantastic,1,1,0,0,0,0,0,0,0,0,0,0
15,dearmylady,1,1,0,0,0,0,0,0,0,0,0,0
20,fate,1,1,0,0,0,0,0,0,0,0,0,0
22,firstkiss,1,1,0,0,0,0,0,0,0,0,0,0
28,honeymoon,1,1,0,0,0,0,0,0,0,0,0,0
30,inmyheart,1,1,0,0,0,0,0,0,0,0,0,0
100,jealousy,1,1,0,0,0,0,0,0,0,0,0,0
33,ladymade,1,1,0,0,0,0,0,0,0,0,0,0
40,oblivion,1,1,0,0,0,0,0,0,0,0,0,0
3,@naege,1,1,0,0,0,0,0,0,0,0,0,0
7,area7,1,1,0,0,0,0,0,0,0,0,0,0
19,enemystorm,1,1,0,0,0,0,0,0,0,0,0,0
76,putemup,2,1,0,0,0,0,0,0,0,0,0,0
70,puzzler,2,1,0,0,0,0,0,0,0,0,0,0
58,someday,1,1,0,0,0,0,0,0,0,0,0,0
74,sweetdream,1,1,0,0,0,0,0,0,0,0,0,0
96,getdown,2,1,0,0,0,0,0,0,0,0,0,0
50,theclear,1,1,0,0,0,0,0,0,0,0,0,0
55,yourown,1,1,0,0,0,0,0,0,0,0,0,0
